7zip, , LGPL
Tizen Web Simulator, , Apache 2.0
archiver, 0.5.0, MIT
async, 0.2.9, MIT
bower, 1.2.8, MIT
chalk, 0.4.0, MIT
coffee-script, 1.6.3, MIT
coffeelint, 1.0.4, MIT
colorize, 0.1.0, https://github.com/mattpat/colorize/blob/master/README.md
cordova.tizen.js, , Apache 2.0
ejs, 0.8.5, MIT
express, 3.4.8, MIT
generator-steroids, 0.2.14, MIT
grunt, 0.4.2, MIT
inquirer, 0.4.0, MIT
jasmine-node, 1.12.0, MIT
karma, 0.10.9, MIT
karma-coffee-preprocessor, 0.1.2, MIT
node-sass, 0.8.1, MIT
oauth, 0.9.11, MIT
open, 0.0.4, MIT
optimist, 0.6.0, MIT/X11
path-extra, 0.1.1, MIT
portscanner, 0.2.0, MIT
prompt, 0.2.12, MIT
q, 1.0.0, MIT
qrcode-terminal, 0.9.4, Apache 2.0
request, 2.31.0, Apache 2.0
restify, 2.6.1, MIT
restler, 3.1.0, MIT
rimraf, 2.2.5, MIT
ripple-emulator, 0.9.19, Apache 2.0
semver, 2.2.1, BSD
steroids-simulators, 3.1.0, MIT
watchr, 2.4.8, MIT
weinre, 2.0.0-pre-HH0SN197, Apache 2.0
wrench, 1.5.4, MIT
xml2js, 0.4.1, MIT
yeoman-generator, 0.16.0, BSD
